#{"t_start": 1696320823.1795056, "env_id": "PandaReach-v3"}
r,l,t,is_success
-50.0,50,1.630943,False
-50.0,50,1.702118,False
-4.0,5,1.709018,True
-50.0,50,1.775133,False
-2.0,3,1.779888,True
-50.0,50,1.847711,False
-50.0,50,1.912659,False
-50.0,50,1.977232,False
-10.0,11,1.991386,True
-50.0,50,2.055241,False
-50.0,50,2.12349,False
-50.0,50,2.193148,False
-50.0,50,2.263861,False
-50.0,50,2.331231,False
-50.0,50,2.396343,False
-50.0,50,2.461569,False
-50.0,50,2.525988,False
-50.0,50,2.587315,False
-19.0,20,2.612356,True
-50.0,50,2.677533,False
-50.0,50,2.744563,False
-10.0,11,2.757059,True
0.0,1,2.758629,True
-50.0,50,2.828549,False
-50.0,50,3.229753,False
-16.0,17,3.379268,True
-9.0,10,3.451554,True
-50.0,50,3.826977,False
-50.0,50,4.215001,False
-50.0,50,4.590687,False
-50.0,50,4.972072,False
-50.0,50,5.445719,False
-50.0,50,5.881327,False
-50.0,50,6.28177,False
-50.0,50,6.686863,False
-50.0,50,7.060657,False
-50.0,50,7.433729,False
-50.0,50,7.823004,False
-50.0,50,8.249604,False
-50.0,50,8.627395,False
-15.0,16,8.741636,True
-50.0,50,9.12739,False
-1.0,2,9.14252,True
-50.0,50,9.507887,False
-50.0,50,9.868652,False
-50.0,50,10.239061,False
-50.0,50,10.622528,False
-5.0,6,10.664688,True
-50.0,50,11.055532,False
-50.0,50,11.425754,False
-50.0,50,11.794561,False
-50.0,50,12.171716,False
-50.0,50,12.566724,False
-50.0,50,12.938467,False
-50.0,50,13.313269,False
-50.0,50,13.678431,False
-50.0,50,14.07855,False
-50.0,50,14.461069,False
-1.0,2,14.475806,True
-50.0,50,14.836066,False
-1.0,2,14.853745,True
-50.0,50,15.234683,False
-50.0,50,15.612635,False
-50.0,50,15.983871,False
-50.0,50,16.356341,False
-50.0,50,16.722111,False
-50.0,50,17.07515,False
-10.0,11,17.154898,True
-50.0,50,17.5165,False
-50.0,50,17.886437,False
-50.0,50,18.255024,False
-16.0,17,18.384199,True
-50.0,50,18.761811,False
-50.0,50,19.129002,False
-50.0,50,19.489656,False
-50.0,50,19.855603,False
-50.0,50,20.243186,False
-50.0,50,20.613898,False
-20.0,21,20.774518,True
-50.0,50,21.155792,False
-50.0,50,21.54282,False
-50.0,50,21.910977,False
-50.0,50,22.290039,False
-50.0,50,22.678026,False
-50.0,50,23.049472,False
-50.0,50,23.417378,False
-50.0,50,23.795908,False
-50.0,50,24.172317,False
-50.0,50,24.540491,False
-50.0,50,24.90328,False
-50.0,50,25.269459,False
-50.0,50,25.635834,False
-50.0,50,26.015349,False
-50.0,50,26.382271,False
-50.0,50,26.75389,False
-3.0,4,26.782758,True
-2.0,3,26.806584,True
-1.0,2,26.823999,True
-50.0,50,27.199435,False
-4.0,5,27.23515,True
-3.0,4,27.274508,True
-6.0,7,27.328635,True
-2.0,3,27.351479,True
-1.0,2,27.365857,True
-6.0,7,27.423459,True
-3.0,4,27.454283,True
-4.0,5,27.490742,True
-11.0,12,27.579671,True
-3.0,4,27.612118,True
-3.0,4,27.643682,True
-50.0,50,28.007765,False
-50.0,50,28.378813,False
-50.0,50,28.755359,False
-50.0,50,29.122775,False
-50.0,50,29.490952,False
-50.0,50,29.859739,False
-50.0,50,30.231322,False
-1.0,2,30.246153,True
-50.0,50,30.617994,False
-50.0,50,30.984616,False
-6.0,7,31.041977,True
-3.0,4,31.071677,True
-3.0,4,31.101115,True
-4.0,5,31.137193,True
-50.0,50,31.525489,False
-50.0,50,31.890949,False
-2.0,3,31.913161,True
-50.0,50,32.279904,False
-50.0,50,32.651719,False
-12.0,13,32.745093,True
-9.0,10,32.817991,True
-6.0,7,32.869299,True
-50.0,50,33.241266,False
-8.0,9,33.309104,True
-3.0,4,33.338482,True
-50.0,50,33.701346,False
-8.0,9,33.770848,True
-9.0,10,33.84261,True
-50.0,50,34.212199,False
-50.0,50,34.58215,False
-50.0,50,34.952196,False
-7.0,8,35.00996,True
-50.0,50,35.378356,False
-50.0,50,35.74665,False
-50.0,50,36.125664,False
-3.0,4,36.157367,True
-7.0,8,36.216417,True
-14.0,15,36.326735,True
-7.0,8,36.399987,True
-50.0,50,36.757643,False
-5.0,6,36.802262,True
-6.0,7,36.852317,True
-50.0,50,37.222489,False
-1.0,2,37.236685,True
-1.0,2,37.25143,True
-50.0,50,37.621496,False
-5.0,6,37.670684,True
-50.0,50,38.034074,False
-50.0,50,38.390448,False
-44.0,45,38.710159,True
-4.0,5,38.750918,True
-7.0,8,38.809449,True
-8.0,9,38.873222,True
-50.0,50,39.25102,False
-50.0,50,39.620559,False
-4.0,5,39.660593,True
-3.0,4,39.691412,True
-50.0,50,40.079018,False
-2.0,3,40.106478,True
-5.0,6,40.15547,True
-9.0,10,40.228161,True
-10.0,11,40.30926,True
-4.0,5,40.350039,True
-2.0,3,40.372527,True
-3.0,4,40.404163,True
-50.0,50,40.793356,False
-7.0,8,40.855451,True
0.0,1,40.863358,True
-13.0,14,40.977893,True
-1.0,2,41.000611,True
0.0,1,41.01142,True
-5.0,6,41.075054,True
-12.0,13,41.19046,True
0.0,1,41.199749,True
-7.0,8,41.266954,True
-9.0,10,41.350314,True
-5.0,6,41.399101,True
-50.0,50,41.802465,False
-5.0,6,41.850896,True
-3.0,4,41.882709,True
-2.0,3,41.905853,True
-1.0,2,41.921905,True
-6.0,7,41.978881,True
-1.0,2,41.994401,True
-4.0,5,42.033683,True
-50.0,50,42.387258,False
-7.0,8,42.445706,True
-4.0,5,42.48043,True
-2.0,3,42.501245,True
-4.0,5,42.536357,True
-3.0,4,42.565437,True
-1.0,2,42.579428,True
0.0,1,42.587005,True
-5.0,6,42.627668,True
-3.0,4,42.656227,True
-5.0,6,42.696022,True
-13.0,14,42.795151,True
-2.0,3,42.81676,True
-2.0,3,42.840459,True
-2.0,3,42.862283,True
-8.0,9,42.926263,True
0.0,1,42.934127,True
-5.0,6,42.976693,True
-3.0,4,43.003565,True
-3.0,4,43.029572,True
-3.0,4,43.056837,True
0.0,1,43.064132,True
-3.0,4,43.0941,True
-50.0,50,43.446971,False
-4.0,5,43.484177,True
-9.0,10,43.554357,True
-2.0,3,43.573885,True
-5.0,6,43.614467,True
